Country,Season,Islander,Age,Hometown,Day Entered,Day Left,Status
UK,9,Ellie Spence,25,Norwich,Day 10,Dumped (Day 26),
UK,9,Jordan Odofin,28,London,Day 17,Dumped (Day 26),
UK,9,Tanyel Revan,26,London,Day 1,Dumped (Day 24),
UK,9,Aaron Waters,25,"Melbourne, Australia",Day 7,Dumped (Day 19),
UK,9,Spencer Wilks,24,Bournemouth,Day 10,Dumped (Day 19),
UK,9,Zara Lackenby-Brown,25,London,Day 3,Dumped (Day 16),
UK,9,Anna-May Robey,20,Swansea,Day 1,Dumped (Day 9),
UK,9,Haris Namani,21,Doncaster,Day 1,Dumped (Day 9),
UK,9,David Salako,24,Little Oakley,Day 3,Dumped (Day 5),
UK,10,Jess Harding,22,Uxbridge,Day 1,Winner (Day 58),
UK,10,Sammy Root,22,Dartford,Day 4,Winner (Day 58),
UK,10,Lochan Nowacki,25,Bermondsey,Day 26,Runner-up (Day 58),
UK,10,Whitney Adebayo,25,Camden,Day 3,Runner-up (Day 58),
UK,10,Ella Thomas,23,Glasgow,Day 1,Third place (Day 58),
UK,10,Tyrique Hyde,24,Grays,Day 1,Third place (Day 58),
UK,10,Molly Marsh,21,Doncaster,Day 1,Dumped (Day 19),
UK,10,Molly Marsh,21,Doncaster,Day 27,Fourth place (Day 58),
UK,10,Zachariah Noble,25,Lewisham,Day 1,Fourth place (Day 58),
UK,10,Ella Barnes,23,Ashford,Day 39,Dumped (Day 56),
UK,10,Mitchel Taylor,26,Sheffield,Day 1,Dumped (Day 56),
UK,10,Abi Moores,25,Hampshire,Day 27,Dumped (Day 52),
UK,10,Scott van-der-Sluis,22,Connah's Quay,Day 11,Dumped (Day 52),
UK,10,Kady McDermott,27,Stevenage,Day 19,Dumped (Day 44),
UK,10,"Ousman ""Ouzy"" See",28,Edinburgh,Day 26,Dumped (Day 44),
UK,10,Amber Wise,19,Kensington,Day 27,Dumped (Day 44),
UK,10,Josh Brocklebank,26,Brentwood,Day 39,Dumped (Day 44),
UK,10,Leah Taylor,27,Manchester,Day 8,Dumped (Day 38),
UK,10,Montel McKenzie,25,London,Day 16,Dumped (Day 38),
UK,10,Catherine Agbaje,22,Tyrrelstown,Day 1,Dumped (Day 38),
UK,10,Elom Ahlijah-Wilson,22,Enfield,Day 26,Dumped (Day 38),
UK,10,Benjamin Noel,26,London,Day 26,Dumped (Day 31),
UK,10,Danielle Mazhindu,25,Liverpool,Day 27,Dumped (Day 31),
UK,10,"Gabrielle ""Gabby"" Jeffery",24,Tyneside,Day 27,Dumped (Day 31),
UK,10,Kodie Murphy,20,Birmingham,Day 26,Dumped (Day 31),
UK,10,Tink Reading,26,Birmingham,Day 27,Dumped (Day 31),
UK,10,Zachary Ashford,27,Manchester,Day 26,Dumped (Day 31),
UK,10,Mal Nicol,25,Edinburgh,Day 16,Dumped (Day 23),
UK,10,Mehdi Edno,26,"Bordeaux, France",Day 1,Dumped (Day 23),
UK,10,André Furtado,21,Dudley,Day 1,Dumped (Day 12),
UK,10,Charlotte Sumner,30,Bournemouth,Day 8,Dumped (Day 12),
UK,10,Ruchee Gurung,24,Sutton,Day 1,Dumped (Day 9),
UK,10,George Fensom,24,Bedford,Day 1,Dumped (Day 5),
UK,11,Josh Oyinsan,29,South London,Day 36,Winner (Day 58),
UK,11,"Michelle ""Mimii"" Ngulube",24,Portsmouth,Day 1,Winner (Day 58),
UK,11,Ciaran Davies,21,Pencoed,Day 1,Runner-up (Day 58),
UK,11,Nicole Samuel,24,Aberdare,Day 1,Runner-up (Day 58),
UK,11,Matilda Draper,24,Beckenham,Day 17,Third place (Day 58),
UK,11,Sean Stone,24,Hertford,Day 1,Third place (Day 58),
UK,11,Ayo Odukoya,25,Canning Town,Day 1,Fourth place (Day 58),
